Александр Сергеевич Пушкин
Антон Павлович Чехов
Артур Конан Дойл
Бестужев-Марлинский Александр Александрович
Блок Александр Александрович
Булгаков Михаил Афанасьевич
Вальтер Скотт
Вельтман Александр Фомич
Ганс Христиан Андерсен
Герцен Александр Иванович
Гиппиус Зинаида Николаевна
Джейн Остин
Есенин Сергей Александрович
Жуковский Василий Андреевич
Жюль Верн
Зайцев Борис Константинович
Замятин Евгений Иванович
Зощенко Михаил Михайлович
Иван Александрович Гончаров
Ивнев Рюрик
Козырев Михаил Яковлевич
Мамин-Сибиряк Дмитрий Наркисович
Марк Твен
Михаил Юрьевич Лермонтов
Николай Васильевич Гоголь
Никольский Вадим Дмитриевич
Оноре Де Бальзак
Радищев Александр Николаевич
Роберт Лью́ис Стивенсон
Федор Михайлович Достоевский
Чарлз Диккенс
Эдгар Аллан По
Эрнст Теодор Амадей Гофман
